,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,
"Table Title: Average Retail Prices Of Selected Consumer Items, Annual",,,,,,,,,,,,,
,,,,,,,,,,,,,
Data last updated: 23/02/2023,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Dollar
Apple (Each),0.47,0.45,0.43,0.43,0.43,0.42,0.43,0.45,0.45,0.42,0.4,0.38,0.37
Pear (Each),1.19,1.25,1.28,1.29,1.03,1.01,0.99,0.94,0.97,0.95,0.93,0.92,0.88
Broccoli (Per Kilogram),6.92,6.25,5.7,5.61,5.68,6.09,6.31,5.9,6.06,7.38,7.54,6.8,6.83
Cabbage (Per Kilogram),2.85,2.71,2.34,2.31,2.23,2.25,2.26,2.09,2.01,1.94,1.91,1.81,1.73
Chinese Kale (Kailan) (Per Kilogram),5.34,5.24,5.19,5.05,5.54,5.82,5.89,5.17,5.14,4.31,4.13,4.11,4.02
Small Mustard (Chye Sim) (Per Kilogram),4.4,4.22,3.98,3.77,3.46,3.33,3.32,3.18,3.2,3.04,2.97,3.16,2.81
Spinach (Bayam) (Per Kilogram),4.27,3.91,3.57,3.46,3.03,2.88,2.81,2.78,2.79,2.81,2.79,2.83,2.64
Tomatoes (Per Kilogram),2.78,2.9,2.63,2.2,2.25,2.27,2.25,2.37,2.33,2.2,2,1.96,2.03
Potatoes (Per Kilogram),2.67,2.64,2.41,2.26,2.23,2.18,2.07,1.98,1.95,1.78,1.71,1.79,1.59
Carrots (Per Kilogram),2.03,2.03,2.03,2.08,2.16,2.16,2.13,2.07,2.04,1.98,1.96,1.95,1.9
White Sugar (Per 2 Kilogram),3.16,3.07,3.08,3.05,3.22,3.19,3.09,3.13,3.19,3.28,3.34,3.37,3.16
Instant Coffee (Per 200 Gram),10.47,10.17,10.19,10.18,10.12,10.34,10.27,10.11,9.94,9.96,10.07,9.79,9.33
Aerated Soft Drinks (Per 4 Cans),3.11,2.96,2.91,2.75,2.62,2.59,2.57,2.55,2.5,na,na,na,na
Non-Aerated Soft Drinks (Per 6 Packets),2.89,2.63,2.56,2.39,2.37,2.33,2.4,2.46,2.49,2.42,2.38,2.36,2.32
Beer (Per 6 Cans),15.86,15.4,15.61,16.15,16.32,16.78,17.28,17.46,17.07,na,na,na,na
Cigarettes (Per Pack),13.24,13.06,13.06,13.08,13.02,12.11,12.04,11.99,11.82,10.86,10.8,10.73,10.66
Coffee/Tea Without Milk (Per Cup),1.14,1.08,1.07,1.06,1.04,1.03,1,0.98,0.96,na,na,na,na
Coffee/Tea With Milk (Per Cup),1.26,1.19,1.17,1.17,1.15,1.14,1.11,1.09,1.07,na,na,na,na
Fishball Noodle (Per Bowl),3.77,3.56,3.5,3.46,3.38,3.31,3.26,3.21,3.15,na,na,na,na
Mee Rebus (Per Bowl),3.55,3.32,3.3,3.26,3.22,3.16,3.07,3.01,2.99,na,na,na,na
Chicken Rice (Per Plate),3.86,3.54,3.47,3.4,3.36,3.29,3.25,3.21,3.15,na,na,na,na
Chicken Nasi Briyani (Per Plate),6.22,5.79,5.65,5.58,5.56,5.51,5.32,5.18,5.1,na,na,na,na
Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.58,3.4,3.37,3.34,3.29,3.27,3.22,3.15,3.09,na,na,na,na
Roti Prata (Plain) (Per Piece),1.2,1.12,1.11,1.09,1.07,1.05,1.02,1,0.96,na,na,na,na
Fried Carrot Cake (Per Plate),3.35,3.14,3.09,3.05,3.01,2.94,2.89,2.85,2.79,na,na,na,na
Ice Kachang (Per Bowl),2.28,2.14,2.07,2.03,1.98,1.97,1.93,1.9,1.89,na,na,na,na
Diesel (Per Litre),2.49,1.8,1.57,1.68,1.56,1.34,1.04,1.17,1.5,1.51,1.5,1.46,1.22
"Petrol, 98 Octane (Per Litre)",3.26,2.79,2.36,2.5,2.47,2.33,2.17,2.19,2.22,2.2,2.13,2.04,1.84
"Petrol, 95 Octane (Per Litre)",2.75,2.3,1.95,2.12,2.14,2,1.82,1.92,2.05,2.05,2,1.96,1.75
"Petrol, 92 Octane (Per Litre)",2.7,2.26,1.91,2.08,2.08,1.95,1.77,1.87,2,1.99,1.95,1.9,1.69
Liquefied Petroleum Gas (LPG) (Per Kilogram),2.82,2.88,2.8,2.65,2.66,2.56,2.36,2.33,2.55,2.51,2.47,2.35,2.15
,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
"Prices of items starting from January 2019 are based on the 2019-based CPI basket.  While they are indicative of the average transaction price levels in the same base period, they are not a measure of pure price movements across CPI baskets due to changes in the sample of brands/varieties and outlets priced.  For more information on the CPI rebasing, refer to the Information Paper 'Rebasing of the Consumer Price Index (2019 as Base Year)' (https://www.singstat.gov.sg/-/media/files/publications/economy/ip-e48.pdf).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,
Date generated: 30/07/2023,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,
